event_id,create_time,close_time,duration,crash_count_900ft,crash_count_1800ft,roadway_type,number_total_lane,street_width,posted_speed,crash_count_2700ft,crash_count_3600ft,daylight_duration,nightlight_duration,day_of_week,peak_duration,peak_ratio,daylight_duration,nightlight_duration,daylight_ratio
5,2019-09-30 22:34:00,2019-10-01 05:33:00,6.983333333333333,0,0,Highway,3,30.0,40,1,1,0.0,6.983333333333333,Monday,0.0,0.0,0.0,6.983333333333333,0.0
8,2019-09-30 19:12:00,2019-10-01 05:29:00,10.283333333333333,1,1,Highway,2,20.0,50,1,2,0.0,10.283333333333333,Monday,0.0,0.0,0.0,10.283333333333333,0.0
9,2019-09-29 19:47:00,2019-09-30 05:14:00,9.45,0,0,Highway,2,20.0,50,1,2,0.0,9.45,Sunday,0.0,0.0,0.0,9.45,0.0
10,2019-09-29 18:01:00,2019-09-29 18:17:00,0.26666666666666666,0,0,Street,1,14.0,25,0,0,0.0,0.26666666666666666,Sunday,0.0,0.0,0.0,0.26666666666666666,0.0
11,2019-09-27 23:37:00,2019-09-28 09:40:00,10.05,0,0,Bridge,4,40.0,45,0,0,3.683333333333333,6.366666666666667,Friday,2.0,0.1990049751243781,3.683333333333333,6.366666666666667,0.3665008291873963
12,2019-09-27 23:27:00,2019-09-28 05:38:00,6.183333333333334,0,0,Highway,3,32.0,50,0,0,0.0,6.183333333333334,Friday,0.0,0.0,0.0,6.183333333333334,0.0
13,2019-09-27 21:09:00,2019-09-28 01:57:00,4.8,0,0,Street,2,15.0,25,0,0,0.0,4.8,Friday,0.0,0.0,0.0,4.8,0.0
14,2019-09-27 14:01:00,2019-09-27 14:17:00,0.26666666666666666,0,0,Ramp,1,16.0,-1,0,0,0.26666666666666666,0.0,Friday,0.0,0.0,0.26666666666666666,0.0,1.0
15,2019-09-27 09:55:00,2019-09-27 16:16:00,6.35,0,0,Street,3,32.0,25,2,4,6.35,0.0,Friday,0.2833333333333333,0.04461942257217848,6.35,0.0,1.0
16,2019-09-27 09:47:00,2019-09-27 15:09:00,5.366666666666666,0,1,Street,3,32.0,25,2,4,5.366666666666666,0.0,Friday,0.0,0.0,5.366666666666666,0.0,1.0
17,2019-09-27 09:39:00,2019-09-27 15:45:00,6.1,1,5,Bridge,4,42.0,40,5,6,6.1,0.0,Friday,0.0,0.0,6.1,0.0,1.0
18,2019-09-27 08:35:00,2019-09-27 14:02:00,5.45,2,3,Highway,3,35.0,50,5,5,5.45,0.0,Friday,0.4,0.07339449541284404,5.45,0.0,1.0
19,2019-09-27 08:08:00,2019-09-27 13:31:00,5.383333333333334,0,0,Bridge,4,40.0,45,1,2,5.383333333333334,0.0,Friday,0.85,0.15789473684210525,5.383333333333334,0.0,1.0
20,2019-09-27 04:06:00,2019-09-27 05:26:00,1.3333333333333333,1,1,Street,3,30.0,25,1,1,0.0,1.3333333333333333,Friday,0.0,0.0,0.0,1.3333333333333333,0.0
21,2019-09-27 02:10:00,2019-09-27 05:24:00,3.2333333333333334,0,0,Ramp,1,18.0,-1,1,1,0.0,3.2333333333333334,Friday,0.0,0.0,0.0,3.2333333333333334,0.0
22,2019-09-27 01:07:00,2019-09-27 04:36:00,3.4833333333333334,0,0,Bridge,4,40.0,45,0,0,0.0,3.4833333333333334,Friday,0.0,0.0,0.0,3.4833333333333334,0.0
25,2019-09-26 14:28:00,2019-09-26 14:55:00,0.45,0,0,Bridge,4,40.0,45,0,0,0.45,0.0,Thursday,0.0,0.0,0.45,0.0,1.0
26,2019-09-26 10:07:00,2019-09-26 15:27:00,5.333333333333333,0,0,Ramp,1,20.0,-1,1,1,5.333333333333333,0.0,Thursday,0.0,0.0,5.333333333333333,0.0,1.0
27,2019-09-26 05:01:00,2019-09-26 05:17:00,0.26666666666666666,0,0,Bridge,3,32.0,40,0,0,0.0,0.26666666666666666,Thursday,0.0,0.0,0.0,0.26666666666666666,0.0
30,2019-09-25 23:20:00,2019-09-26 02:58:00,3.6333333333333333,0,0,Highway,3,30.0,40,0,0,0.0,3.6333333333333333,Wednesday,0.0,0.0,0.0,3.6333333333333333,0.0
31,2019-09-25 14:27:00,2019-09-25 14:33:00,0.1,0,0,Bridge,4,40.0,45,0,0,0.1,0.0,Wednesday,0.0,0.0,0.1,0.0,1.0
32,2019-09-25 12:58:00,2019-09-25 15:04:00,2.1,0,0,Street,4,50.0,35,0,0,2.1,0.0,Wednesday,0.0,0.0,2.1,0.0,1.0
33,2019-09-25 10:44:00,2019-09-25 15:27:00,4.716666666666667,1,1,Bridge,4,40.0,45,1,2,4.716666666666667,0.0,Wednesday,0.0,0.0,4.716666666666667,0.0,1.0
34,2019-09-25 10:13:00,2019-09-25 13:54:00,3.683333333333333,0,0,Bridge,3,30.0,30,0,1,3.683333333333333,0.0,Wednesday,0.0,0.0,3.683333333333333,0.0,1.0
35,2019-09-25 01:05:00,2019-09-25 04:36:00,3.5166666666666666,0,0,Bridge,4,40.0,45,0,0,0.0,3.5166666666666666,Wednesday,0.0,0.0,0.0,3.5166666666666666,0.0
36,2019-09-24 23:33:00,2019-09-25 04:01:00,4.466666666666667,0,0,Highway,3,35.0,50,0,1,0.0,4.466666666666667,Tuesday,0.0,0.0,0.0,4.466666666666667,0.0
38,2019-09-24 22:42:00,2019-09-25 04:31:00,5.816666666666666,1,1,Highway,3,30.0,40,1,3,0.0,5.816666666666666,Tuesday,0.0,0.0,0.0,5.816666666666666,0.0
48,2019-09-24 10:42:00,2019-09-24 14:54:00,4.2,0,0,Bridge,4,40.0,45,0,0,4.2,0.0,Tuesday,0.0,0.0,4.2,0.0,1.0
49,2019-09-24 09:23:00,2019-09-24 17:58:00,8.583333333333334,0,0,Street,2,22.0,25,0,0,8.583333333333334,0.0,Tuesday,1.9833333333333334,0.23106796116504855,8.583333333333334,0.0,1.0
50,2019-09-24 08:06:00,2019-09-24 14:52:00,6.766666666666667,0,0,Bridge,4,40.0,45,0,0,6.766666666666667,0.0,Tuesday,0.8833333333333333,0.13054187192118227,6.766666666666667,0.0,1.0
51,2019-09-24 05:01:00,2019-09-24 05:17:00,0.26666666666666666,0,0,Highway,3,30.0,40,0,0,0.0,0.26666666666666666,Tuesday,0.0,0.0,0.0,0.26666666666666666,0.0
52,2019-09-24 01:04:00,2019-09-24 04:51:00,3.783333333333333,0,0,Bridge,4,40.0,45,0,0,0.0,3.783333333333333,Tuesday,0.0,0.0,0.0,3.783333333333333,0.0
58,2019-09-23 14:26:00,2019-09-24 05:17:00,14.85,1,2,Highway,3,30.0,40,3,4,3.55,11.3,Monday,2.0,0.13468013468013468,3.55,11.3,0.23905723905723905
61,2019-09-23 12:09:00,2019-09-23 14:09:00,2.0,1,2,Street,6,62.0,25,3,3,2.0,0.0,Monday,0.0,0.0,2.0,0.0,1.0
62,2019-09-23 10:52:00,2019-09-23 14:43:00,3.85,0,0,Bridge,4,40.0,45,0,2,3.85,0.0,Monday,0.0,0.0,3.85,0.0,1.0
63,2019-09-23 08:18:00,2019-09-23 14:19:00,6.016666666666667,0,0,Bridge,4,40.0,45,0,2,6.016666666666667,0.0,Monday,0.6833333333333333,0.11357340720221606,6.016666666666667,0.0,1.0
64,2019-09-22 23:27:00,2019-09-23 04:52:00,5.416666666666667,0,1,Street,2,35.0,25,2,2,0.0,5.416666666666667,Sunday,0.0,0.0,0.0,5.416666666666667,0.0
