event_id,wz_id,length_ft,crash_count
66.0,3362_0,450.87195831391585,91
511.0,3362_0,450.87195831391585,91
520.0,3362_0,450.87195831391585,91
359.0,3430_0,52.092700213436295,20
383.0,3503_0,1920.7249601461328,117
398.0,3503_0,1920.7249601461328,117
423.0,3497_0,1450.3602080405415,9
514.0,3487_0,264.7812523728504,6
612.0,2168_0,517.7990652989944,434
2785.0,2168_0,517.7990652989944,434
693.0,3260_0,772.6063020053833,125
701.0,3260_0,772.6063020053833,125
736.0,3002_0,456.26797875354896,61
784.0,3002_0,456.26797875354896,61
798.0,3002_0,456.26797875354896,61
818.0,3002_0,456.26797875354896,61
776.0,3398_0,1735.7439911038766,1
847.0,2094_0,538.8532815176459,611
852.0,2094_0,538.8532815176459,611
858.0,2771_0,369.8317998288646,91
922.0,3318_0,368.3167906834894,14
972.0,2748_0,533.8359649003606,337
1020.0,2807_0,899.6567582770247,45
1028.0,2807_0,899.6567582770247,45
1023.0,2647_0,245.3791167676904,82
1118.0,2657_0,513.2867692010348,110
1188.0,2724_0,507.89309566150496,23
1191.0,2724_0,507.89309566150496,23
1289.0,2722_0,561.5725741010697,14
1404.0,108_0,1406.289071909036,903
4719.0,108_0,1406.289071909036,903
1433.0,1694_0,253.5501903465612,237
1460.0,2547_0,322.51779869365396,40
1633.0,2636_0,272.588147544829,59
1644.0,2636_0,272.588147544829,59
1653.0,2618_0,900.7096694176554,16
1730.0,2608_0,511.3183021516817,0
1758.0,2335_0,448.1170291985479,358
2063.0,2321_0,545.4354184513684,89
2064.0,2289_0,348.03252076390544,211
2098.0,1250_0,1852.436080501156,225
3722.0,1250_0,1852.436080501156,225
4677.0,1250_0,1852.436080501156,225
4756.0,1250_0,1852.436080501156,225
4837.0,1250_0,1852.436080501156,225
2212.0,2278_0,900.6796291053881,72
2225.0,2278_0,900.6796291053881,72
2381.0,2241_0,506.0540319041629,77
2627.0,1238_0,867.8252950251712,175
2629.0,2194_0,900.0930292224948,102
2805.0,2253_0,245.3791167676904,123
3156.0,2142_0,580.6893567700687,98
3426.0,2021_0,2551.737181581223,20
3438.0,1983_0,769.739208765392,21
3461.0,1981_0,1405.1250301450475,2
3494.0,1966_0,2931.27511476763,6
3513.0,1401_0,269.6151308952206,322
3679.0,1600_0,561.5725741010697,128
3682.0,1600_0,561.5725741010697,128
3688.0,1600_0,561.5725741010697,128
4169.0,1600_0,561.5725741010697,128
4232.0,1600_0,561.5725741010697,128
4091.0,1679_0,277.20519702082976,26
