node_id,roadway_type,street_width,posted_speed,number_total,number_travel,number_park
0002db54439476ed731ba50bf7dcdb76,Street,30.0,25,3,2,-1
0005ae85e017c72c69cbdcd38f986f04,Street,26.0,25,3,2,1
0005f85368f314bfb0c82b84d0208b9f,Street,55.0,25,3,1,2
00069e55a187497605fe946926934e4b,Street,34.0,25,3,3,-1
0008525ffca74a2e2af21a2acc91458e,Street,50.0,20,3,1,2
000b636aa9002fbe242509d1068c8088,Street,34.0,30,3,2,1
000c4a68b5f33e69f5de1ed89ad88dfc,Street,30.0,25,3,1,2
000dbec166b28e0deb66bbf92ea3683c,Street,72.0,25,6,4,2
000f29cb12236672cf87a364528139a2,Street,44.0,25,4,3,1
00110211f7a21d4feea78436004f1436,Street,32.0,25,3,2,1
0014b6f1246de34bb8ab9d0e3ed3561c,Street,44.0,25,4,3,1
0014e3013c4e512310bb8a317e1c15f1,Street,40.0,25,4,2,2
0016809ea5606f53fed9a34fd97e81b1,Street,30.0,25,4,2,-1
001688bb3466756b53f20694a20c8d79,Street,18.0,25,2,1,-1
0017335f42364676275f9b7a000ae97c,Street,26.0,25,2,2,-1
00173be313714486525aebc379b29c86,Street,-1.0,-1,-1,-1,-1
0018110842a5863efd44eea393908f4f,Street,50.0,25,3,1,2
00184f95a32def1e1d905a156dcad716,Street,30.0,25,3,1,2
001863ff451db8dc0b27fa37e256d7df,Street,30.0,25,3,1,2
0019334ed8c9481f44b2b9603198ab45,Street,30.0,25,3,1,2
001a53e5a4b66fa9f1212f92e5595e8a,Street,30.0,25,3,2,1
001b8d13805db7058b6b0906dbfc1094,Street,20.0,25,2,1,1
001b941c10170e9223717e854f96b278,Street,40.0,25,4,2,2
001e8efbdd2a937068086a87fbdf8822,Highway,36.0,50,3,3,-1
001f38a637d4dd4ffcfe98c7199046f9,Street,22.0,25,2,1,1
001f5010ef0f461dc1a4225df3ee117d,Street,30.0,25,3,1,2
00204aeb759f62ef0ddd09472b101723,Street,46.0,25,3,1,2
002112f665add94ecc6a7c314414ebea,Street,36.0,25,4,2,2
00228dce0fc1ab55f34fc240848ea76c,Street,30.0,25,3,1,2
0024bbe4bd5508ed6820adcb8d6d4650,Street,56.0,25,5,3,1
