wz_id,segmentid,created_date,closed_date,created_season,closed_season,duration_days,purpose,geometry,length_ft
0_0,[32594],2017-02-02,2018-01-01,winter,winter,333,"[""['Occupancy Of Roadway As Stipulated']""]","MULTILINESTRING ((985479.7560875559 205496.2393690428, 985088.4321324559 205748.9289112173))",465.81803588899476
1000_0,"[37666 37564 37545 37793 11143 37775 36441 37547 37671 37448 11167 11158
 37773 37528 37661 37662 37640 37525 37795 37664 37542 37645 37778 37772
 37642 37543 37449]",2017-10-27,2017-11-02,fall,fall,6,"[""['Dot In-House Paving']"" ""['Occupancy Of Roadway As Stipulated']""
 ""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((996814.5285559598 223747.1427200757, 996940.283421604 223976.2460049704), (995900.0226257973 222098.1734469447, 996028.6874126887 222329.645519434), (995634.454416925 221618.7660478528, 995771.9449398881 221867.2688757387), (997574.9103553292 225119.1905840336, 997701.3772162579 225347.5326843906), (958667.5123541196 147922.6893340956, 958868.5752707074 147778.5820330016), (997320.9204254339 224661.3086897212, 997448.2008922312 224890.2642869136), (994716.9724861371 219965.4890960254, 994856.1132265701 220214.0643155618), (995771.9449398881 221867.2688757387, 995900.0226257973 222098.1734469447), (996940.283421604 223976.2460049704, 997067.2488912313 224204.5750985827), (994856.1132265701 220214.0643155618, 994984.4205231788 220444.6669764417), (958931.9809928662 148287.9878359206, 958667.5123541196 147922.6893340956), (958472.6271527344 148079.1949460864, 958667.5123541196 147922.6893340956), (997194.1321591812 224432.9958932512, 997320.9204254339 224661.3086897212), (995240.3953093478 220907.0138966693, 995368.5320009263 221138.6729578546), (996413.0678586153 223023.271145313, 996550.8043737148 223272.0593840544), (996550.8043737148 223272.0593840544, 996686.7528804365 223518.1476298812), (996028.6874126887 222329.645519434, 996156.4236943481 222560.8813916483), (995112.2062160467 220675.9322346869, 995240.3953093478 220907.0138966693), (997701.3772162579 225347.5326843906, 997839.065917529 225593.0323547261), (996686.7528804365 223518.1476298812, 996814.5285559598 223747.1427200757), (995368.5320009263 221138.6729578546, 995496.6260909978 221370.1550213405), (996284.5867764467 222792.2090665775, 996413.0678586153 223023.271145313), (997448.2008922312 224890.2642869136, 997574.9103553292 225119.1905840336), (997067.2488912313 224204.5750985827, 997194.1321591812 224432.9958932512), (996156.4236943481 222560.8813916483, 996284.5867764467 222792.2090665775), (995496.6260909978 221370.1550213405, 995634.454416925 221618.7660478528), (994984.4205231788 220444.6669764417, 995112.2062160467 220675.9322346869))",7383.89819811298
1001_0,[32568],2017-10-27,2017-11-15,fall,fall,19,"[""['Occupancy Of Roadway As Stipulated']""]","MULTILINESTRING ((985410.5192044964 204937.1010019214, 985199.9342366658 205072.5139544143))",250.36512612392698
1002_0,[  9672 118414   9678  14517   8233  15885  15578   8237 110822],2017-10-27,2018-01-01,fall,winter,66,"[""['Contract Roadway Milling-Protected', 'Dot In-House Paving']""
 ""['Contract Roadway Milling', 'Dot In-House Paving']""
 ""['Contract Roadway Milling']""]","MULTILINESTRING ((949857.290429976 160161.7945202599, 949895.585039438 159498.1181883852), (949989.1993710788 158531.076452925, 950012.0001468376 158160.4702844818), (949803.2499963238 161066.7663132809, 949857.290429976 160161.7945202599), (963445.9161785878 159056.4509397084, 963432.3199903158 159809.6527287138), (949999.9925249539 158100.2930585379, 950002.33948065 157973.0298583289, 950009.680427756 157845.8610677168, 950022.0031644235 157719.0748864718, 950039.272888786 157592.9691142899), (965305.9367716151 160168.3902484058, 965012.3988681905 160638.5404469024), (963294.3554778645 160937.7458343242, 963560.0487631746 160530.6435814966), (949986.9199286206 158974.4251641963, 949989.1993710788 158531.076452925), (949986.3283713176 159151.7345692935, 949986.9199286206 158974.4251641963))",4866.386466464153
1003_0,[34055],2017-10-28,2017-10-29,fall,fall,1,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((988001.5347752579 214967.2781820701, 987214.9416727946 215403.1129526571))",899.2667324523095
1004_0,"[193743 271228 193539 160580  34973  22827 160581  34200 271331 271227
 265023 271332]",2017-10-28,2017-10-30,fall,fall,2,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""
 ""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""
 ""['Occupancy Of Roadway As Stipulated']""
 ""['Occupancy Of Roadway As Stipulated', 'Place Equipment Other Than Crane Or Shov']""
 ""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated']""]","MULTILINESTRING ((987857.0364958403 223439.1825834958, 987700.6999288087 223526.766701727), (982881.6088224535 209489.0179151473, 982182.986051252 209873.9640800655), (988410.7089626796 223133.8038795117, 987905.6742034158 223412.8114538972), (962046.2627231793 150726.3121170342, 962033.9892496248 150706.7420750928), (995712.3052611015 202025.0899372653, 995547.0891337608 201823.6062623197), (988576.5331599519 189775.394852438, 989177.7522796748 189468.0410947395), (962033.9892496248 150706.7420750928, 961896.0480727968 150486.8143075948), (989293.6375328045 215445.2384118554, 988510.8640437401 215874.3073277334), (990818.6670622289 216088.8149841925, 990508.8892781131 216260.7699230477), (982903.196901392 209478.763148315, 982881.6088224535 209489.0179151473), (984539.5443326212 204531.6938984639, 984835.8295308318 204984.4089051207), (990508.8892781131 216260.7699230477, 989925.2594769049 216584.7375851454))",5251.757051838673
1005_0,[33912],2017-10-28,2017-11-05,fall,fall,8,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((987508.9419750093 212205.6110928072, 986712.9949968983 212638.6705047688))",906.1302589873438
1006_0,[236949  32114  23260 166006  32366 162729 166005],2017-10-28,2017-11-06,fall,fall,9,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""
 ""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((982563.8536497027 211082.5584262036, 982070.1660242715 211357.7717196533), (983647.4414756151 202659.5916821377, 983937.4854405485 203110.2639910323), (981924.8625620971 199538.4025177177, 981563.7091038156 199752.9192482819), (994762.7762026004 221171.5121031247, 994791.7427302191 221155.449260714), (984809.6243759734 202562.4947389289, 984579.2559606923 202693.1041845009), (987843.514335749 193314.9718760113, 988359.3847402137 193291.8207727482), (994345.4161662722 221402.8906298837, 994762.7762026004 221171.5121031247))",2812.7499685507187
1007_0,[32823],2017-10-28,2017-11-15,fall,fall,18,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street', 'Place Equipment Other Than Crane Or Shov']""]","MULTILINESTRING ((986877.5028711883 208974.4493186009, 985986.3492378846 209470.0465389829))",1019.6918176590582
1008_0,[32448],2017-10-29,2017-10-30,fall,fall,1,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((984728.147466759 207199.8033066114, 983946.4059385903 207626.8311556709))",890.7707902349741
