wz_id,segmentid,created_date,closed_date,created_season,closed_season,duration_days,purpose,geometry,length_ft,bounding_geometry,bounding_area
0_0,[32594],2017-02-02,2018-01-01,winter,winter,333,"[""['Occupancy Of Roadway As Stipulated']""]","MULTILINESTRING ((985479.7560875559 205496.2393690428, 985088.4321324559 205748.9289112173))",465.8180358889948,"LINESTRING (985479.7560875559 205496.2393690428, 985088.4321324559 205748.9289112173)",0.0
1001_0,[32568],2017-10-27,2017-11-15,fall,fall,19,"[""['Occupancy Of Roadway As Stipulated']""]","MULTILINESTRING ((985410.5192044964 204937.1010019214, 985199.9342366658 205072.5139544143))",250.36512612392696,"LINESTRING (985410.5192044964 204937.1010019214, 985199.9342366658 205072.5139544143)",0.0
1003_0,[34055],2017-10-28,2017-10-29,fall,fall,1,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((988001.5347752579 214967.2781820701, 987214.9416727946 215403.1129526571))",899.2667324523096,"LINESTRING (988001.5347752579 214967.2781820701, 987214.9416727946 215403.1129526571)",0.0
1005_0,[33912],2017-10-28,2017-11-05,fall,fall,8,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((987508.9419750093 212205.6110928072, 986712.9949968983 212638.6705047688))",906.1302589873437,"LINESTRING (987508.9419750093 212205.6110928072, 986712.9949968983 212638.6705047688)",0.0
1007_0,[32823],2017-10-28,2017-11-15,fall,fall,18,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street', 'Place Equipment Other Than Crane Or Shov']""]","MULTILINESTRING ((986877.5028711883 208974.4493186009, 985986.3492378846 209470.0465389829))",1019.6918176590582,"LINESTRING (986877.5028711883 208974.4493186009, 985986.3492378846 209470.0465389829)",0.0
1008_0,[32448],2017-10-29,2017-10-30,fall,fall,1,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((984728.147466759 207199.8033066114, 983946.4059385903 207626.8311556709))",890.770790234974,"LINESTRING (984728.147466759 207199.8033066114, 983946.4059385903 207626.8311556709)",0.0
1009_0,[67093],2017-10-30,2017-11-01,fall,fall,2,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((1000058.395174092 212270.0813170121, 999801.1845057465 211880.7624746249))",466.6117111135,"LINESTRING (1000058.395174092 212270.0813170121, 999801.1845057465 211880.7624746249)",0.0
1010_0,[72585],2017-10-30,2017-11-02,fall,fall,3,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((1004351.44421117 252843.0291792606, 1003999.888344817 253559.493200685))",798.0678048655764,"LINESTRING (1004351.44421117 252843.0291792606, 1003999.888344817 253559.493200685)",0.0
1012_0,[164863 164864],2017-10-30,2017-11-15,fall,fall,16,"[""['Contract Roadway Milling-Protected']""]","MULTILINESTRING ((989191.6648669604 220316.9722807586, 989159.588027217 220335.1447026), (989159.588027217 220335.1447026, 988970.1676027993 220439.9577605272))",253.3520698792157,"POLYGON ((989191.8184514894 220317.2488870138, 988970.3211873283 220440.2343667823, 988970.1676027993 220439.9577605271, 989191.6648669604 220316.9722807585, 989191.8184514894 220317.2488870138))",80.15619577099567
1013_0,[63186],2017-10-30,2017-11-18,fall,fall,19,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((1052115.009348346 188396.2828116503, 1052316.610848528 188203.1177921964))",279.2058194523414,"LINESTRING (1052115.009348346 188396.2828116503, 1052316.610848528 188203.1177921964)",0.0
1016_0,[8129],2017-10-31,2017-12-13,fall,winter,43,"[""['Repair Gas']""]","MULTILINESTRING ((948980.7393519951 150231.6434920984, 949202.2501790037 150331.7844172442))",243.0951488020794,"LINESTRING (948980.7393519951 150231.6434920984, 949202.2501790037 150331.7844172442)",0.0
1018_0,[23194],2017-10-31,2018-07-30,fall,summer,272,"[""['Occupancy Of Sidewalk As Stipulated', 'Place Equipment Other Than Crane Or Shov']""]","MULTILINESTRING ((981196.8791556621 197436.9144460521, 980898.807853791 197613.3235259295))",346.3620424675595,"LINESTRING (981196.8791556621 197436.9144460521, 980898.807853791 197613.3235259295)",0.0
101_0,[165484 165485],2017-04-10,2017-05-22,spring,spring,42,"[""['D.D.C. Contractor Major Reconstruction', 'Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((992615.780646324 217228.5508803218, 992646.8895853562 217211.2380473028), (992646.8895853562 217211.2380473028, 993062.8192467067 216978.5276822075))",512.20620551116,"POLYGON ((993062.8558910792 216978.5932019235, 992615.8172906968 217228.6164000377, 992615.7806463244 217228.5508803218, 993062.8192467069 216978.5276822076, 993062.8558910792 216978.5932019235))",38.45178525330841
1021_0,[111185],2017-11-01,2017-11-07,fall,fall,6,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((990707.4851206115 220739.2610682165, 990730.9990079604 220834.6543408691, 990760.0213189494 220929.0206353779, 990794.4766532696 221021.8811536006, 990834.2374104367 221112.7762970615, 990879.11598966 221201.2536671318, 990928.8897900592 221286.8896648916, 990983.2730104186 221369.2876911403, 991041.9542494726 221448.0865464411))",790.4686640853274,"POLYGON ((991001.4718331429 221467.1887358234, 990667.0027042818 220758.3632575989, 990707.4851206117 220739.2610682166, 991041.9542494728 221448.0865464411, 991001.4718331429 221467.1887358234))",35084.06075676977
1022_0,[111186],2017-11-01,2017-11-22,fall,fall,21,"[""['Dot In-House Paving', 'Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((991041.9542494726 221448.0865464411, 991075.2285881736 221470.8653564761, 991110.7569369868 221490.3501875844, 991148.0404937889 221506.2328394078, 991186.5149562083 221518.3031110538))",161.69398586536937,"POLYGON ((991183.0390204909 221525.459310259, 991038.4783137552 221455.2427456463, 991041.9542494726 221448.0865464411, 991186.5149562083 221518.3031110538, 991183.0390204909 221525.459310259))",1278.5734795277706
1023_0,[32147],2017-11-01,2017-12-11,fall,winter,40,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Equipment Other Than Crane Or Shov', 'Place Material On Street']""]","MULTILINESTRING ((983384.5359863084 204097.8731848099, 983553.2883719548 204361.5724817849))",313.07297374015104,"LINESTRING (983384.5359863084 204097.8731848099, 983553.2883719548 204361.5724817849)",0.0
1024_0,[ 35379 108644 108645],2017-11-02,2017-11-11,fall,fall,9,"[""['Occupancy Of Roadway As Stipulated', 'Place Equipment Other Than Crane Or Shov', 'Rapid Transit Construct/ Alteration', 'Temporary Construction Signs/Markings']""]","MULTILINESTRING ((997605.0083873958 209714.0206936101, 997546.7935988054 209500.6213861751), (997051.2147681088 209587.2471651131, 997072.1892762147 209581.9356110463), (997072.1892762147 209581.9356110463, 997164.7813646208 209554.885401548, 997259.0008433803 209533.120615426, 997354.3883101306 209516.7788516997, 997450.4776626292 209505.9361090846, 997546.7935988054 209500.6213861751))",725.9357855937744,"POLYGON ((997094.734529753 209397.1367643287, 997648.52814904 209523.9102928257, 997605.0083873958 209714.0206936101, 997051.2147681088 209587.2471651131, 997094.734529753 209397.1367643287))",110799.08065746093
1025_0,[196774],2017-11-02,2017-11-16,fall,fall,14,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((992976.8129252529 197966.8571819931, 992988.6079955546 197656.4134944964))",310.6676790236718,"LINESTRING (992976.8129252529 197966.8571819931, 992988.6079955546 197656.4134944964)",0.0
1026_0,[112231],2017-11-02,2018-01-01,fall,winter,60,"[""['Dep Contractor Major Installation Sewer']""]","MULTILINESTRING ((952997.6204751154 156225.9125187456, 952853.3358172313 156278.7336866494))",153.64940051763094,"LINESTRING (952997.6204751154 156225.9125187456, 952853.3358172313 156278.7336866494)",0.0
1027_0,[12354 11266 12361 12352],2017-11-02,2018-01-22,fall,winter,81,"[""['Contract Roadway Milling', 'Dot In-House Paving']""
 ""['Contract Roadway Milling-Protected', 'Dot In-House Paving']""]","MULTILINESTRING ((950368.2007894624 160717.4048924881, 950394.7162660605 160193.1735091564), (950433.8769442379 159530.4879374601, 950488.2729008792 158984.8822019126), (950176.4370286101 161713.4456137041, 950189.0695064903 161479.1646301574), (950394.7162660605 160193.1735091564, 950433.8769442379 159530.4879374601))",1971.6751014376773,"POLYGON ((950574.7819506559 158995.2594555249, 950247.6946750013 161721.9933745491, 950161.1856252248 161711.6161209368, 950488.2729008794 158984.8822019126, 950574.7819506559 158995.2594555249))",239281.42794087192
1028_0,[75539],2017-11-03,2017-11-05,fall,fall,2,"[""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street', 'Place Equipment Other Than Crane Or Shov', 'Place Material On Street', 'Rapid Transit Construct/ Alteration']""]","MULTILINESTRING ((1011020.042259737 210932.3304767779, 1010937.601740802 210684.1901425466))",261.4766999844236,"LINESTRING (1011020.042259737 210932.3304767779, 1010937.601740802 210684.1901425466)",0.0
1029_0,[42601 42463 42599 42466 42440],2017-11-03,2017-11-09,fall,fall,6,"[""['Dot In-House Milling']""]","MULTILINESTRING ((1007257.702290137 175745.8646479883, 1007470.487437029 175928.2674856), (1006663.123082322 175240.9762459053, 1006862.07941685 175409.681487982), (1007059.881151742 175577.9304200107, 1007257.702290137 175745.8646479883), (1006862.07941685 175409.681487982, 1007059.881151742 175577.9304200107), (1006398.9700072 175017.1821268466, 1006663.123082322 175240.9762459053))",1406.4974001060336,"POLYGON ((1006399.698786577 175016.3250174688, 1007471.216216406 175927.4103762222, 1007470.487437029 175928.2674856001, 1006398.9700072 175017.1821268466, 1006399.698786577 175016.3250174688))",1582.3878577467883
1030_0,[23087 23088 23086 23095],2017-11-03,2017-11-13,fall,fall,10,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""
 ""['Occupancy Of Roadway As Stipulated', 'Place Crane Or Shovel On Street']""
 ""['Occupancy Of Roadway As Stipulated']""]","MULTILINESTRING ((980623.0403567484 197638.4497913078, 980647.7479904882 197713.9684298782), (980647.7479904882 197713.9684298782, 980690.4146344832 197843.5587852879), (980623.0403567484 197638.4497913078, 980399.2967150654 197766.2731706408), (980941.0319792195 197696.299710443, 980690.4146344832 197843.5587852879))",764.2522996130377,"POLYGON ((980907.0717381628 197882.9736473227, 980395.0132743638 197789.8185494209, 980428.9735154205 197603.1446125411, 980941.0319792194 197696.299710443, 980907.0717381628 197882.9736473227))",98751.53893033684
1031_0,[293567 293569],2017-11-03,2017-11-14,fall,fall,11,"[""['D.D.C. Contractor Major Reconstruction']""]","MULTILINESTRING ((981563.7091038156 199752.9192482819, 981443.5591841241 199823.960287615), (981443.5591841241 199823.960287615, 981335.4192037469 199888.3319828718))",265.4299161183426,"POLYGON ((981335.3194936705 199888.1638834425, 981563.6093937391 199752.7511488526, 981563.7091038157 199752.919248282, 981335.4192037471 199888.3319828719, 981335.3194936705 199888.1638834425))",51.87741606216889
1033_0,[36679],2017-11-04,2017-11-05,fall,fall,1,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((996832.0887559939 219722.9021087454, 997456.8671493526 219377.6831506848))",713.8096173436846,"LINESTRING (996832.0887559939 219722.9021087454, 997456.8671493526 219377.6831506848)",0.0
1036_0,[166030 166029],2017-11-05,2017-11-06,fall,fall,1,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Equipment Other Than Crane Or Shov']""]","MULTILINESTRING ((995482.7839927356 222330.2179675863, 995900.0226257973 222098.1734469447), (995453.58446466 222346.2512087068, 995482.7839927356 222330.2179675863))",510.7348349187535,"POLYGON ((995900.1043226649 222098.3204677782, 995453.6661615276 222346.3982295403, 995453.5844646601 222346.2512087068, 995900.0226257974 222098.1734469447, 995900.1043226649 222098.3204677782))",85.90288661313213
1037_0,[34210],2017-11-05,2017-11-12,fall,fall,7,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Crane Or Shovel On Street']""]","MULTILINESTRING ((989672.4702225348 216129.4543481912, 988886.4874273618 216564.4951179685))",898.3481650654652,"LINESTRING (989672.4702225348 216129.4543481912, 988886.4874273618 216564.4951179685)",0.0
1038_0,[32086],2017-11-05,2017-11-13,fall,fall,8,"[""['Occupancy Of Roadway As Stipulated', 'Occupancy Of Sidewalk As Stipulated', 'Place Equipment Other Than Crane Or Shov']""]","MULTILINESTRING ((983346.3492851037 201729.7024278991, 983637.7910150958 202182.9403091729))",538.8532815176459,"LINESTRING (983346.3492851037 201729.7024278991, 983637.7910150958 202182.9403091729)",0.0
